User,Navigation Path
1,"['Services', 'Cart', 'Signup']"
2,"['Blog', 'Review Page', 'Product Page', 'Checkout', 'Signup']"
3,"['Homepage', 'Services', 'Cart', 'Signup']"
4,"['Pricing', 'Checkout', 'Blog']"
5,"['Review Page', 'Checkout', 'Services']"
6,"['Services', 'FAQ', 'Homepage', 'Checkout']"
7,"['Contact Us', 'Homepage', 'Review Page', 'Product Page', 'Services']"
8,"['Pricing', 'Review Page', 'Product Page']"
9,"['Pricing', 'Contact Us', 'Blog']"
10,"['Product Page', 'Pricing']"
11,"['Checkout', 'Signup']"
12,"['Product Page', 'FAQ', 'Blog', 'Cart']"
13,"['Checkout', 'Signup', 'Blog']"
14,"['Pricing', 'Services', 'Signup']"
15,"['Pricing', 'Product Page', 'Blog']"
16,"['Cart', 'FAQ', 'Product Page', 'Blog']"
17,"['Services', 'Homepage']"
18,"['Product Page', 'Review Page']"
19,"['Product Page', 'FAQ']"
20,"['Review Page', 'Cart']"
21,"['Product Page', 'Homepage', 'FAQ']"
22,"['Pricing', 'Product Page', 'Review Page']"
23,"['Services', 'Cart', 'Contact Us', 'Checkout', 'Product Page']"
24,"['Homepage', 'Product Page']"
25,"['Services', 'FAQ', 'Contact Us']"
26,"['Services', 'Blog', 'Contact Us', 'Product Page']"
27,"['Services', 'Review Page', 'Cart', 'Signup']"
28,"['Review Page', 'Checkout', 'FAQ', 'Homepage', 'Blog']"
29,"['Pricing', 'Cart', 'Product Page', 'Checkout']"
30,"['Cart', 'Pricing']"
31,"['Blog', 'Pricing']"
32,"['Cart', 'Services', 'FAQ']"
33,"['Signup', 'FAQ', 'Pricing', 'Blog', 'Review Page']"
34,"['Services', 'Product Page', 'Checkout', 'Signup', 'Homepage']"
35,"['Cart', 'Product Page', 'Checkout', 'Signup', 'Pricing']"
36,"['Review Page', 'Signup', 'Blog', 'Product Page']"
37,"['Review Page', 'Checkout', 'FAQ']"
38,"['Checkout', 'Product Page', 'Contact Us', 'Services']"
39,"['FAQ', 'Product Page', 'Blog']"
40,"['Services', 'Cart']"
41,"['Homepage', 'Services', 'Cart', 'Blog', 'Product Page']"
42,"['FAQ', 'Cart', 'Signup', 'Homepage']"
43,"['Contact Us', 'Review Page']"
44,"['Services', 'Product Page', 'FAQ', 'Signup', 'Cart']"
45,"['Signup', 'Blog']"
46,"['Homepage', 'Checkout', 'FAQ']"
47,"['Contact Us', 'Homepage', 'Signup', 'Review Page', 'Cart']"
48,"['Homepage', 'Blog', 'Services', 'Cart', 'Signup']"
49,"['Services', 'Pricing', 'Signup', 'Checkout']"
50,"['Contact Us', 'Homepage', 'Pricing', 'FAQ', 'Review Page']"
51,"['Contact Us', 'Checkout', 'Signup', 'Services']"
52,"['Product Page', 'Blog']"
53,"['FAQ', 'Services', 'Blog', 'Product Page', 'Review Page']"
54,"['Review Page', 'Services', 'Checkout', 'Contact Us', 'Product Page']"
55,"['Homepage', 'Review Page', 'Blog', 'Contact Us', 'Product Page']"
56,"['Product Page', 'Homepage', 'Cart']"
57,"['Signup', 'Homepage', 'FAQ', 'Checkout', 'Services']"
58,"['Services', 'Blog', 'Review Page', 'Pricing', 'Contact Us']"
59,"['Blog', 'Review Page', 'Services']"
60,"['Checkout', 'Contact Us']"
61,"['Signup', 'FAQ', 'Cart']"
62,"['Pricing', 'Homepage', 'Product Page']"
63,"['Review Page', 'Blog']"
64,"['Cart', 'Signup', 'Services']"
65,"['Homepage', 'Pricing']"
66,"['Services', 'Cart']"
67,"['Contact Us', 'Signup', 'Checkout', 'Blog']"
68,"['Pricing', 'Homepage', 'Contact Us']"
69,"['Checkout', 'FAQ', 'Homepage', 'Pricing', 'Contact Us']"
70,"['Review Page', 'Blog', 'Product Page', 'Cart']"
71,"['Contact Us', 'Checkout', 'Product Page']"
72,"['Signup', 'Product Page', 'Blog', 'Pricing', 'Homepage']"
73,"['Contact Us', 'Services', 'FAQ', 'Checkout']"
74,"['FAQ', 'Signup']"
75,"['Services', 'Signup', 'Checkout']"
76,"['Pricing', 'Services', 'Review Page']"
77,"['Product Page', 'Checkout']"
78,"['Contact Us', 'Services', 'Checkout', 'Signup']"
79,"['Services', 'FAQ']"
80,"['Product Page', 'Blog']"
81,"['Services', 'Cart']"
82,"['Contact Us', 'Services', 'Cart', 'Checkout', 'Product Page']"
83,"['Contact Us', 'Checkout', 'Review Page', 'Blog', 'Signup']"
84,"['Pricing', 'Review Page', 'Signup', 'Services', 'Homepage']"
85,"['Review Page', 'Signup', 'Homepage', 'Product Page']"
86,"['Checkout', 'Pricing']"
87,"['Product Page', 'Signup', 'Services', 'FAQ']"
88,"['Blog', 'Review Page']"
89,"['FAQ', 'Signup', 'Checkout']"
90,"['Homepage', 'Checkout', 'Signup']"
91,"['Services', 'Pricing', 'Homepage']"
92,"['Checkout', 'Blog', 'Signup', 'Pricing']"
93,"['Checkout', 'Cart', 'Blog', 'Homepage', 'Services']"
94,"['Review Page', 'Pricing']"
95,"['Checkout', 'Homepage', 'Pricing', 'Contact Us', 'Review Page']"
96,"['Signup', 'FAQ', 'Review Page']"
97,"['FAQ', 'Signup', 'Cart', 'Review Page']"
98,"['Blog', 'Contact Us']"
99,"['Signup', 'Services', 'Blog']"
100,"['Blog', 'Services', 'Pricing', 'FAQ', 'Contact Us']"
101,"['Services', 'Pricing']"
102,"['Review Page', 'Services', 'FAQ', 'Pricing', 'Blog']"
103,"['Services', 'Contact Us', 'Pricing', 'Product Page', 'Homepage']"
104,"['Signup', 'Product Page', 'Review Page']"
105,"['Homepage', 'Checkout', 'Product Page', 'Blog', 'Pricing']"
106,"['Signup', 'Review Page', 'Product Page']"
107,"['Checkout', 'Services', 'Product Page', 'Homepage']"
108,"['Contact Us', 'Review Page', 'FAQ']"
109,"['Blog', 'Homepage', 'Signup']"
110,"['Cart', 'Signup']"
111,"['Product Page', 'Review Page', 'Homepage', 'Cart']"
112,"['Pricing', 'Product Page', 'Review Page', 'Contact Us', 'Cart']"
113,"['Blog', 'FAQ']"
114,"['Blog', 'FAQ', 'Cart', 'Contact Us']"
115,"['FAQ', 'Pricing']"
116,"['Cart', 'Homepage', 'Services']"
117,"['Product Page', 'Blog', 'Pricing', 'Contact Us']"
