Student,Courses
1,"['Python Basics', 'SQL', 'Data Science', 'Machine Learning']"
2,"['Deep Learning', 'Statistics', 'Python Basics']"
3,"['Web Development', 'AI', 'Data Science', 'Neural Networks']"
4,"['Machine Learning', 'SQL', 'AI', 'Statistics']"
5,"['Python Basics', 'Machine Learning', 'Data Science']"
6,"['Machine Learning', 'Deep Learning', 'Neural Networks', 'Python Basics']"
7,"['Data Science', 'Neural Networks', 'AI']"
8,"['Python Basics', 'Neural Networks', 'Statistics', 'Data Science']"
9,"['Web Development', 'Deep Learning']"
10,"['Big Data', 'Python Basics', 'Statistics']"
11,"['Big Data', 'Deep Learning', 'SQL', 'AI']"
12,"['Big Data', 'Deep Learning']"
13,"['Big Data', 'Deep Learning']"
14,"['Machine Learning', 'Big Data']"
15,"['Data Science', 'Neural Networks', 'AI', 'Web Development']"
16,"['Big Data', 'Deep Learning', 'AI', 'Data Science']"
17,"['Web Development', 'Statistics', 'Data Science', 'Big Data']"
18,"['Neural Networks', 'Statistics', 'SQL']"
19,"['Big Data', 'SQL']"
20,"['Statistics', 'SQL', 'Python Basics']"
21,"['Deep Learning', 'Statistics', 'SQL']"
22,"['Web Development', 'Python Basics']"
23,"['Neural Networks', 'Python Basics']"
24,"['Statistics', 'Big Data', 'SQL', 'Deep Learning']"
25,"['Python Basics', 'Data Science']"
26,"['AI', 'Deep Learning', 'Big Data']"
27,"['Deep Learning', 'SQL', 'Neural Networks', 'Data Science']"
28,"['Python Basics', 'Machine Learning']"
29,"['Neural Networks', 'Deep Learning', 'Python Basics', 'Statistics']"
30,"['Web Development', 'Deep Learning', 'SQL', 'Machine Learning']"
31,"['Web Development', 'SQL', 'Python Basics', 'Data Science']"
32,"['Statistics', 'Data Science', 'Machine Learning']"
33,"['Web Development', 'Deep Learning']"
34,"['Statistics', 'Neural Networks', 'Machine Learning', 'Python Basics']"
35,"['Python Basics', 'Web Development']"
36,"['Web Development', 'Deep Learning']"
37,"['SQL', 'Statistics']"
38,"['Machine Learning', 'Web Development', 'Big Data', 'Data Science']"
39,"['Statistics', 'Neural Networks']"
40,"['Data Science', 'Deep Learning', 'Neural Networks']"
41,"['Neural Networks', 'AI']"
42,"['SQL', 'Machine Learning']"
43,"['Web Development', 'Machine Learning', 'Big Data', 'Python Basics']"
44,"['Statistics', 'AI', 'Web Development']"
45,"['Statistics', 'Data Science', 'Big Data', 'Python Basics']"
46,"['Data Science', 'Statistics', 'Web Development']"
47,"['Data Science', 'SQL', 'Machine Learning']"
48,"['Data Science', 'Statistics']"
49,"['Big Data', 'Neural Networks', 'Python Basics']"
50,"['SQL', 'Statistics', 'Python Basics']"
51,"['SQL', 'Neural Networks']"
52,"['Machine Learning', 'Deep Learning', 'Big Data']"
53,"['Python Basics', 'Big Data']"
54,"['Data Science', 'Statistics', 'Big Data', 'Deep Learning']"
55,"['Machine Learning', 'Neural Networks', 'AI']"
56,"['Deep Learning', 'Big Data', 'Neural Networks']"
57,"['Web Development', 'Machine Learning', 'Data Science']"
58,"['AI', 'SQL', 'Deep Learning', 'Data Science']"
59,"['Machine Learning', 'Big Data', 'SQL', 'Neural Networks']"
60,"['AI', 'Python Basics']"
61,"['SQL', 'Machine Learning', 'Deep Learning', 'Web Development']"
62,"['Python Basics', 'Big Data', 'Machine Learning']"
63,"['Python Basics', 'Neural Networks']"
64,"['Statistics', 'Neural Networks']"
65,"['Deep Learning', 'Python Basics', 'Big Data']"
66,"['Big Data', 'Data Science', 'AI']"
67,"['Neural Networks', 'AI', 'Python Basics', 'Web Development']"
68,"['Data Science', 'SQL', 'Python Basics']"
69,"['AI', 'Machine Learning']"
70,"['Data Science', 'Big Data']"
71,"['Machine Learning', 'Big Data', 'Statistics']"
72,"['Data Science', 'Deep Learning']"
73,"['Web Development', 'Neural Networks', 'Big Data']"
74,"['AI', 'Statistics', 'Neural Networks']"
75,"['SQL', 'AI']"
76,"['Statistics', 'Data Science']"
77,"['Statistics', 'SQL']"
78,"['Python Basics', 'Statistics', 'AI', 'Neural Networks']"
79,"['SQL', 'Neural Networks', 'Python Basics', 'AI']"
80,"['Data Science', 'Deep Learning', 'Web Development']"
81,"['Big Data', 'Deep Learning', 'AI']"
82,"['AI', 'Python Basics']"
83,"['AI', 'Big Data', 'Deep Learning', 'Python Basics']"
84,"['Statistics', 'Deep Learning', 'Web Development']"
85,"['Neural Networks', 'Big Data']"
86,"['Big Data', 'Machine Learning', 'Statistics']"
87,"['Deep Learning', 'Neural Networks']"
88,"['AI', 'Statistics', 'Python Basics', 'Machine Learning']"
89,"['SQL', 'Web Development', 'Python Basics']"
90,"['Data Science', 'Deep Learning', 'AI']"
91,"['Data Science', 'Machine Learning', 'Web Development']"
92,"['Python Basics', 'Neural Networks', 'Big Data']"
93,"['SQL', 'AI']"
94,"['Machine Learning', 'Web Development']"
95,"['SQL', 'Deep Learning', 'Statistics']"
96,"['Python Basics', 'Neural Networks', 'Data Science', 'Deep Learning']"
97,"['Python Basics', 'Machine Learning', 'SQL', 'Web Development']"
98,"['Neural Networks', 'Data Science', 'Statistics']"
99,"['Machine Learning', 'Big Data', 'Neural Networks']"
100,"['Python Basics', 'Machine Learning', 'Big Data', 'Statistics']"
101,"['Big Data', 'SQL']"
102,"['Statistics', 'SQL', 'Web Development']"
103,"['SQL', 'AI', 'Python Basics', 'Machine Learning']"
104,"['Deep Learning', 'Statistics', 'Web Development']"
105,"['Big Data', 'Deep Learning', 'Data Science']"
106,"['Machine Learning', 'Big Data']"
107,"['Statistics', 'Deep Learning', 'SQL']"
108,"['SQL', 'Machine Learning', 'Big Data']"
109,"['Web Development', 'AI', 'Deep Learning', 'Data Science']"
110,"['Statistics', 'AI']"
111,"['SQL', 'Data Science']"
112,"['Neural Networks', 'Machine Learning']"
113,"['Machine Learning', 'Deep Learning']"
114,"['Web Development', 'AI']"
115,"['Deep Learning', 'Machine Learning', 'Python Basics']"
116,"['Big Data', 'Deep Learning', 'Data Science']"
117,"['Deep Learning', 'Web Development', 'Python Basics']"
118,"['SQL', 'Deep Learning']"
119,"['Data Science', 'Statistics', 'AI']"
120,"['Big Data', 'Neural Networks', 'Python Basics', 'AI']"
121,"['Machine Learning', 'Python Basics', 'Neural Networks']"
122,"['SQL', 'Python Basics']"
123,"['Big Data', 'Machine Learning', 'Neural Networks']"
124,"['Python Basics', 'AI']"
125,"['Python Basics', 'SQL', 'Machine Learning']"
126,"['Machine Learning', 'Statistics']"
127,"['SQL', 'Data Science', 'AI']"
128,"['Data Science', 'Deep Learning', 'Machine Learning', 'Python Basics']"
129,"['Web Development', 'AI', 'Big Data', 'Statistics']"
130,"['Python Basics', 'AI', 'Data Science', 'Deep Learning']"
131,"['Deep Learning', 'AI', 'SQL', 'Web Development']"
132,"['Neural Networks', 'AI']"
133,"['Big Data', 'Machine Learning', 'Python Basics']"
134,"['Statistics', 'Neural Networks']"
135,"['Big Data', 'Data Science', 'Deep Learning']"
136,"['Machine Learning', 'Neural Networks', 'SQL']"
137,"['Python Basics', 'Big Data', 'Web Development', 'Data Science']"
138,"['SQL', 'Neural Networks', 'Python Basics', 'Big Data']"
139,"['Data Science', 'AI']"
140,"['Data Science', 'Neural Networks', 'Deep Learning', 'Python Basics']"
141,"['Web Development', 'Statistics', 'Neural Networks']"
142,"['Python Basics', 'Data Science', 'AI', 'Big Data']"
143,"['Deep Learning', 'Machine Learning']"
144,"['Deep Learning', 'Statistics', 'Neural Networks']"
145,"['Neural Networks', 'Python Basics', 'SQL', 'Big Data']"
146,"['Statistics', 'Neural Networks', 'Web Development']"
147,"['SQL', 'Machine Learning', 'Neural Networks']"
148,"['Big Data', 'Deep Learning', 'Statistics']"
149,"['Deep Learning', 'Machine Learning', 'AI']"
