Transaction,Items
1,"['Juice', 'Eggs']"
2,"['Eggs', 'Beer']"
3,"['Butter', 'Coke', 'Eggs', 'Juice']"
4,"['Bread', 'Juice', 'Diapers', 'Milk', 'Coke']"
5,"['Milk', 'Juice', 'Butter']"
6,"['Juice', 'Bread', 'Diapers']"
7,"['Milk', 'Beer']"
8,"['Beer', 'Diapers', 'Coke', 'Bread']"
9,"['Eggs', 'Coke', 'Milk', 'Diapers']"
10,"['Juice', 'Bread', 'Beer']"
11,"['Diapers', 'Juice', 'Butter', 'Coke']"
12,"['Juice', 'Eggs', 'Diapers', 'Bread', 'Milk']"
13,"['Butter', 'Juice', 'Milk']"
14,"['Bread', 'Butter', 'Juice']"
15,"['Diapers', 'Coke', 'Bread', 'Beer']"
16,"['Diapers', 'Coke', 'Juice', 'Milk', 'Butter']"
17,"['Juice', 'Bread', 'Coke', 'Beer']"
18,"['Coke', 'Juice', 'Butter', 'Bread']"
19,"['Diapers', 'Eggs']"
20,"['Beer', 'Diapers', 'Coke']"
21,"['Bread', 'Butter', 'Diapers', 'Beer']"
22,"['Milk', 'Juice', 'Diapers', 'Coke']"
23,"['Beer', 'Milk', 'Eggs']"
24,"['Beer', 'Bread']"
25,"['Diapers', 'Bread']"
26,"['Diapers', 'Milk', 'Juice', 'Butter', 'Beer']"
27,"['Bread', 'Milk', 'Butter']"
28,"['Butter', 'Coke', 'Bread', 'Milk', 'Eggs']"
29,"['Beer', 'Milk', 'Coke', 'Bread']"
30,"['Milk', 'Coke']"
31,"['Beer', 'Milk', 'Eggs', 'Diapers', 'Butter']"
32,"['Beer', 'Coke', 'Diapers', 'Butter', 'Juice']"
33,"['Milk', 'Bread', 'Butter', 'Coke', 'Eggs']"
34,"['Juice', 'Beer']"
35,"['Diapers', 'Bread', 'Coke']"
36,"['Juice', 'Milk']"
37,"['Bread', 'Diapers']"
38,"['Coke', 'Butter']"
39,"['Beer', 'Coke', 'Juice', 'Eggs']"
40,"['Coke', 'Beer', 'Eggs']"
41,"['Diapers', 'Beer', 'Bread', 'Coke', 'Milk']"
42,"['Coke', 'Eggs', 'Diapers', 'Bread', 'Butter']"
43,"['Butter', 'Bread', 'Juice']"
44,"['Coke', 'Bread', 'Juice']"
45,"['Milk', 'Bread']"
46,"['Diapers', 'Butter', 'Bread', 'Juice', 'Coke']"
47,"['Eggs', 'Diapers', 'Coke', 'Beer', 'Juice']"
48,"['Juice', 'Eggs', 'Coke']"
49,"['Milk', 'Diapers']"
50,"['Eggs', 'Beer', 'Coke']"
51,"['Diapers', 'Bread']"
52,"['Diapers', 'Bread', 'Juice']"
53,"['Beer', 'Coke', 'Milk', 'Diapers']"
54,"['Beer', 'Diapers']"
55,"['Coke', 'Eggs']"
56,"['Milk', 'Eggs']"
57,"['Butter', 'Bread', 'Beer', 'Milk']"
58,"['Coke', 'Juice', 'Butter', 'Diapers', 'Beer']"
59,"['Juice', 'Coke', 'Butter']"
60,"['Beer', 'Diapers', 'Eggs', 'Coke']"
61,"['Butter', 'Coke', 'Diapers', 'Juice', 'Eggs']"
62,"['Butter', 'Juice', 'Eggs']"
63,"['Juice', 'Diapers']"
